step,reward
2850,-58.76522230934736
2860,-34.48822175690177
2870,-56.78351439217323
2880,-50.424360692344
2890,-52.99420414226953
2900,-55.765567831061844
2910,-38.56242026554927
2920,-46.68254190850956
2930,-59.17803507820861
2940,-45.458545731869805
2950,-58.11988501292615
2960,-41.34497345232107
2970,-57.60757966853437
2980,-43.162579311436524
2990,-39.05816537117332
3000,-47.08631170411365
3010,-52.38939136766047
3020,-45.05353435667062
3030,-45.99166058364158
3040,-51.68296831291119
3050,-56.00022722585828
3060,-49.5923433467919
3070,-42.075564775934694
3080,-37.0089152001003
3090,-57.87491707316309
3100,-63.48909717188669
3110,-54.38763101998493
3120,-53.72199429971905
3130,-46.28769489297461
3140,-43.48523775074233
3150,-47.598494736538235
3160,-58.758632027866476
3170,-46.903487212263244
3180,-47.79804548754774
3190,-54.40828928208284
3200,-33.65632836748406
3210,-68.59539340539125
3220,-43.308124208045626
3230,-52.382514440995905
3240,-39.41481009187456
3250,-50.13655011790621
3260,-40.421862486289406
3270,-41.20708908644233
3280,-46.92887890530498
3290,-55.524653406193146
3300,-53.84901842016177
3310,-49.21861336303099
3320,-37.40717189280598
3330,-43.571854799441596
3340,-47.133786449723026
3350,-38.18387875862577
3360,-43.61958616165848
3370,-47.21827749312369
3380,-44.319818417673886
3390,-66.35737887977481
3400,-41.23972782976711
3410,-54.4608493494952
3420,-44.33883229575542
3430,-49.31228683108981
3440,-41.811204563636
3450,-40.33412602985605
3460,-31.625085298086958
3470,-35.63261286174084
3480,-53.39832123760722
3490,-66.17440913249968
3500,-50.55913139426956
3510,-52.711780034947466
3520,-32.73579282601635
3530,-46.4463454134882
3540,-50.18297907939727
3550,-57.789133303873804
3560,-74.41830682994403
3570,-45.83959899191788
3580,-62.77587374998613
3590,-49.88251307960677
3600,-38.065901432008886
3610,-36.85974923879819
3620,-86.0898262593469
3630,-31.102660686258968
3640,-46.643485246144216
3650,-42.32307248840401
3660,-38.75403672262041
3670,-44.62919131671957
3680,-40.42377616807187
3690,-58.58268745879707
3700,-30.357205849559715
3710,-44.26519884004522
3720,-47.432183723211935
3730,-51.45278293858902
3740,-66.12845282250336
3750,-58.49778506247522
3760,-52.54654717182982
3770,-45.672376495876236
3780,-49.5328888669071
3790,-46.07060434272257
3800,-41.12680898688241
3810,-59.56963972643827
3820,-58.66292738558138
3830,-47.914256593763426
3840,-60.74428568552793
3850,-53.965273942993484
3860,-49.21385519229291
3870,-42.4119442938717
3880,-39.071438157349114
3890,-42.217933216442916
3900,-46.61614303248028
3910,-42.08273071315965
3920,-53.86540966916645
3930,-59.73381261470308
3940,-52.739755036571566
