step,reward
0,-74.89216615535511
10,-92.11645541554849
20,-33.51403530163171
30,-36.14743377538723
40,-10.000879466114167
50,-80.4603943651826
60,-398.1876579603354
70,-398.1876579603354
80,-398.1876579603354
90,-398.1876579603354
100,-398.1876579603354
110,-398.1876579603354
120,-398.1876579603354
130,-398.1876579603354
140,-398.1876579603354
150,-398.1876579603354
160,-398.1876579603354
170,-398.1876579603354
180,-398.1876579603354
190,-398.1876579603354
200,-398.1876579603354
210,-398.1876579603354
220,-398.1876579603354
230,-398.1876579603354
240,-398.1876579603354
250,-398.1876579603354
260,-398.1876579603354
270,-398.1876579603354
280,-398.1876579603354
290,-398.1876579603354
300,-398.1876579603354
310,-398.1876579603354
320,-398.1876579603354
330,-398.1876579603354
340,-398.1876579603354
350,-398.1876579603354
360,-398.1876579603354
370,-398.1876579603354
380,-398.1876579603354
390,-398.1876579603354
400,-398.1876579603354
410,-398.1876579603354
420,-398.1876579603354
430,-398.1876579603354
440,-398.1876579603354
